accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.375,0.4365079402923584,0.7020303606987,0.3333333432674408,0.1111111119389534,0.800000011920929,0.5,0.6912482976913452,0.800000011920929,1.0
0.5625,0.5634920597076416,0.6936149597167969,0.5833333134651184,0.7777777910232544,0.800000011920929,0.5,0.6740903258323669,0.800000011920929,1.0
0.5625,0.5873016119003296,0.6814392805099487,0.6000000238418579,0.6666666865348816,0.800000011920929,0.5,0.6613920331001282,0.800000011920929,1.0
0.375,0.5079365372657776,0.7108956575393677,0.4545454680919647,0.5555555820465088,0.800000011920929,0.5,0.6528332829475403,0.800000011920929,1.0
0.6875,0.89682537317276,0.6460177302360535,0.6428571343421936,1.0,0.800000011920929,0.5,0.6537275314331055,0.800000011920929,1.0
0.5625,0.6111111044883728,0.6896783113479614,0.5833333134651184,0.7777777910232544,0.800000011920929,0.5,0.6731084585189819,0.800000011920929,1.0
0.5625,0.5634920597076416,0.6893842220306396,0.5833333134651184,0.7777777910232544,0.20000000298023224,0.5,0.7101138234138489,0.0,0.0
0.5625,0.5317460298538208,0.7325351238250732,0.625,0.5555555820465088,0.20000000298023224,0.5,0.7369383573532104,0.0,0.0
0.5,0.4365079402923584,0.718629777431488,0.5714285969734192,0.4444444477558136,0.20000000298023224,0.5,0.7586121559143066,0.0,0.0
0.4375,0.3253968060016632,0.7235056161880493,0.5,0.1111111119389534,0.20000000298023224,0.5,0.7698219418525696,0.0,0.0
0.375,0.5158730149269104,0.6889431476593018,0.4000000059604645,0.2222222238779068,0.20000000298023224,0.5,0.7709282636642456,0.0,0.0
0.5625,0.579365074634552,0.6927840709686279,0.75,0.3333333432674408,0.20000000298023224,0.5,0.7681266069412231,0.0,0.0
