accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5,0.4285714328289032,0.6978635191917419,0.5333333611488342,0.8888888955116272,0.800000011920929,0.5,0.6862837672233582,0.800000011920929,1.0
0.4375,0.3809523582458496,0.6999533176422119,0.5,0.7777777910232544,0.800000011920929,0.5,0.6620646715164185,0.800000011920929,1.0
0.5625,0.4047619104385376,0.7007904052734375,0.5625,1.0,0.800000011920929,0.5,0.6653670072555542,0.800000011920929,1.0
0.4375,0.4365079402923584,0.6984734535217285,0.5,0.7777777910232544,0.800000011920929,0.5,0.6775071024894714,0.800000011920929,1.0
0.5625,0.5396825075149536,0.692870557308197,0.5833333134651184,0.7777777910232544,0.800000011920929,0.5,0.6815618276596069,0.800000011920929,1.0
0.625,0.4444444179534912,0.6966382265090942,0.6000000238418579,1.0,0.800000011920929,0.5,0.6838409900665283,0.800000011920929,1.0
0.5,0.5317460298538208,0.6902239918708801,0.5384615659713745,0.7777777910232544,0.800000011920929,0.5,0.686505913734436,0.800000011920929,1.0
0.625,0.5873016119003296,0.6887812614440918,0.6666666865348816,0.6666666865348816,0.800000011920929,0.5,0.6898902058601379,0.800000011920929,1.0
0.5625,0.523809552192688,0.6913665533065796,0.5833333134651184,0.7777777910232544,0.800000011920929,0.5,0.6924982666969299,0.800000011920929,1.0
0.4375,0.5158730149269104,0.6934547424316406,0.5,0.4444444477558136,0.20000000298023224,0.5,0.6953395009040833,0.0,0.0
